fiscal_year,ticker,revenue_usdm,cogs_usdm,gross_profit_usdm,rd_expense_usdm,sga_expense_usdm,acq_termination_usdm,total_opex_usdm,ebit_usdm,da_usdm,ebitda_usdm,interest_income_usdm,interest_expense_usdm,other_net_usdm,ebt_usdm,income_tax_usdm,net_income_usdm,is_forecast,scenario,source,gross_margin_pct,ebit_margin_pct,ebitda_margin_pct,net_margin_pct,rd_pct_revenue,effective_tax_rate_pct
2020,NVDA,10918,4150,6768,2829,1093,0,3922,2846,381,3227,178,-52,-2,2970,174,2796,False,base,10-K (EDGAR),0.619893753434695,0.2606704524638212,0.29556695365451546,0.2560908591317091,0.2591133907309031,0.05858585858585859
2021,NVDA,16675,6279,10396,3924,1940,0,5864,4532,1098,5630,57,-184,4,4409,77,4332,False,base,10-K (EDGAR),0.623448275862069,0.271784107946027,0.3376311844077961,0.25979010494752625,0.2353223388305847,0.017464277613971423
2022,NVDA,26914,9439,17475,5268,2166,0,7434,10041,1174,11215,29,-236,107,9941,189,9752,False,base,10-K (EDGAR),0.6492903321691313,0.3730772088875678,0.4166976294865126,0.3623393029649996,0.19573456193802483,0.019012171813700834
2023,NVDA,26974,11618,15356,7339,2440,1353,11132,4224,1544,5768,267,-262,-48,4181,-187,4368,False,base,10-K (EDGAR),0.5692889449099132,0.1565952398606065,0.213835545339957,0.16193371394676356,0.2720768147104619,-0.044726142071274816
2024,NVDA,60922,16621,44301,8675,2654,0,11329,32972,1508,34480,866,-257,237,33818,4058,29760,False,base,10-K (EDGAR),0.7271757329043695,0.5412166376678376,0.5659696004727356,0.4884934834706674,0.14239519385443683,0.1199952687917677
2025,NVDA,130497,32639,97858,12914,3491,0,16405,81453,1864,83317,1786,-247,1034,84026,11146,72880,False,base,10-K (EDGAR),0.7498869705816992,0.6241752683969747,0.6384591216656321,0.5584802715771244,0.0989601293516326,0.13264941803727417
