fiscal_year,ticker,revenue_usdm,cogs_usdm,gross_profit_usdm,rd_expense_usdm,sga_expense_usdm,acq_termination_usdm,total_opex_usdm,ebit_usdm,da_usdm,ebitda_usdm,interest_income_usdm,interest_expense_usdm,other_net_usdm,ebt_usdm,income_tax_usdm,net_income_usdm,gross_margin_pct,ebit_margin_pct,ebitda_margin_pct,net_margin_pct,rd_pct_revenue,effective_tax_rate_pct,cash_only_usdm,short_term_investments_usdm,cash_and_investments_usdm,accounts_receivable_usdm,inventory_usdm,prepaid_expenses_usdm,total_current_assets_usdm,ppe_net_usdm,operating_lease_assets_usdm,goodwill_usdm,intangible_assets_usdm,lt_deferred_tax_assets_usdm,other_assets_usdm,total_assets_usdm,accounts_payable_usdm,accrued_liabilities_usdm,short_term_debt_usdm,current_lease_liabilities_usdm,income_taxes_payable_usdm,current_deferred_revenue_usdm,other_current_liabilities_usdm,total_current_liabilities_usdm,long_term_debt_usdm,lt_lease_liabilities_usdm,lt_deferred_revenue_usdm,lt_deferred_tax_liabilities_usdm,other_lt_liabilities_usdm,total_liabilities_usdm,common_stock_usdm,apic_usdm,retained_earnings_usdm,treasury_stock_usdm,aoci_usdm,shareholders_equity_usdm,total_liabilities_equity_usdm,stock_based_comp_usdm,deferred_taxes_usdm,gains_on_investments_usdm,other_operating_usdm,chg_accounts_receivable_usdm,chg_inventory_usdm,chg_prepaid_other_usdm,chg_accounts_payable_usdm,chg_accrued_liabilities_usdm,chg_other_lt_liabilities_usdm,cfo_usdm,proceeds_maturities_securities_usdm,proceeds_sales_securities_usdm,proceeds_sales_equity_securities_usdm,purchases_securities_usdm,capex_usdm,purchases_equity_securities_usdm,acquisitions_net_usdm,other_investing_usdm,cfi_usdm,proceeds_stock_plans_usdm,share_repurchases_usdm,tax_on_rsu_usdm,debt_repayment_usdm,dividends_paid_usdm,principal_lease_payments_usdm,other_financing_usdm,cff_usdm,net_change_cash_usdm,cash_beginning_usdm,cash_ending_usdm,cash_taxes_paid_usdm,cash_interest_paid_usdm,fcf_usdm,is_forecast,scenario,source
2020,NVDA,10918,4150,6768,2829,1093,0,3922,2846,381,3227,178,-52,-2,2970,174,2796,0.619893753434695,0.2606704524638212,0.29556695365451546,0.2560908591317091,0.2591133907309031,0.05858585858585859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,base,10-K (EDGAR)
2021,NVDA,16675,6279,10396,3924,1940,0,5864,4532,1098,5630,57,-184,4,4409,77,4332,0.623448275862069,0.271784107946027,0.3376311844077961,0.25979010494752625,0.2353223388305847,0.017464277613971423,847.0,10714.0,11561.0,2429.0,1826.0,239.0,16055.0,2149.0,707.0,4193.0,2737.0,806.0,2144.0,28791.0,1149.0,297.0,999.0,0.0,0.0,288.0,1192.0,3925.0,5964.0,634.0,163.0,241.0,971.0,11898.0,3.0,8719.0,18908.0,-10756.0,19.0,16893.0,28791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,base,10-K (EDGAR)
2022,NVDA,26914,9439,17475,5268,2166,0,7434,10041,1174,11215,29,-236,107,9941,189,9752,0.6492903321691313,0.3730772088875678,0.4166976294865126,0.3623393029649996,0.19573456193802483,0.019012171813700834,1990.0,19218.0,21208.0,4650.0,2605.0,366.0,28829.0,2778.0,829.0,4349.0,2339.0,1222.0,3841.0,44187.0,1783.0,409.0,0.0,144.0,132.0,300.0,1567.0,4335.0,10946.0,741.0,202.0,245.0,1106.0,17575.0,3.0,10385.0,16235.0,0.0,-11.0,26612.0,44187.0,2004.0,,-100.0,-359.0,-2215.0,-774.0,,568.0,,-942.0,9108.0,,,,-8591.0,-976.0,,-263.0,0.0,-9830.0,281.0,-1904.0,,-1000.0,-399.0,,-90.0,1865.0,1143.0,,,396.0,246.0,8132.0,False,base,10-K (EDGAR)
2023,NVDA,26974,11618,15356,7339,2440,1353,11132,4224,1544,5768,267,-262,-48,4181,-187,4368,0.5692889449099132,0.1565952398606065,0.213835545339957,0.16193371394676356,0.2720768147104619,-0.044726142071274816,3389.0,9907.0,13296.0,3827.0,5159.0,791.0,23073.0,3807.0,1038.0,4372.0,1676.0,3396.0,3820.0,41182.0,1193.0,530.0,1250.0,176.0,467.0,354.0,2593.0,6563.0,9703.0,902.0,218.0,247.0,1448.0,19081.0,2.0,11971.0,10171.0,0.0,-43.0,22101.0,41182.0,2709.0,-2164.0,45.0,-7.0,822.0,-2554.0,-1517.0,-551.0,1341.0,252.0,5641.0,19425.0,1806.0,8.0,-11897.0,-1833.0,-85.0,-49.0,0.0,7375.0,355.0,-10039.0,-1475.0,0.0,-398.0,-58.0,-2.0,-11617.0,1399.0,1990.0,3389.0,1404.0,254.0,3808.0,False,base,10-K (EDGAR)
2024,NVDA,60922,16621,44301,8675,2654,0,11329,32972,1508,34480,866,-257,237,33818,4058,29760,0.7271757329043695,0.5412166376678376,0.5659696004727356,0.4884934834706674,0.14239519385443683,0.1199952687917677,7280.0,18704.0,25984.0,9999.0,5282.0,3080.0,44345.0,3914.0,1346.0,4430.0,1112.0,6081.0,4500.0,65728.0,2699.0,675.0,1250.0,228.0,296.0,764.0,4719.0,10631.0,8459.0,1119.0,573.0,462.0,1506.0,22750.0,25.0,13109.0,29817.0,0.0,27.0,42978.0,65728.0,3549.0,-2489.0,-238.0,-278.0,-6172.0,-98.0,-1522.0,1531.0,2025.0,514.0,28090.0,9732.0,50.0,1.0,-18211.0,-1069.0,-862.0,-83.0,-124.0,-10566.0,403.0,-9533.0,-2783.0,-1250.0,-395.0,-74.0,-1.0,-13633.0,3891.0,3389.0,7280.0,6549.0,252.0,27021.0,False,base,10-K (EDGAR)
2025,NVDA,130497,32639,97858,12914,3491,0,16405,81453,1864,83317,1786,-247,1034,84026,11146,72880,0.7498869705816992,0.6241752683969747,0.6384591216656321,0.5584802715771244,0.0989601293516326,0.13264941803727417,8589.0,34621.0,43210.0,23065.0,10080.0,3771.0,80126.0,6283.0,1793.0,5188.0,807.0,10979.0,6425.0,111601.0,6310.0,848.0,0.0,288.0,881.0,837.0,8883.0,18047.0,8463.0,1519.0,976.0,886.0,2383.0,32274.0,24.0,11237.0,68038.0,0.0,28.0,79327.0,111601.0,4737.0,-4477.0,-1030.0,-502.0,-13063.0,-4781.0,-395.0,3357.0,4278.0,1221.0,64089.0,11195.0,495.0,171.0,-26575.0,-3236.0,-1486.0,-1007.0,22.0,-20421.0,490.0,-33706.0,-6930.0,-1250.0,-834.0,-129.0,0.0,-42359.0,1309.0,7280.0,8589.0,15118.0,246.0,60853.0,False,base,10-K (EDGAR)
