year,ticker,revenue,cogs,gross_profit,ebit,ebitda,net_income,ebt,income_tax,interest_income,interest_expense,rd_expense,sga_expense,da,cfo,cfi,cff,capex,change_in_nwc,cash,short_term_debt,long_term_debt,total_debt,total_assets,total_liabilities,shareholders_equity,receivables,inventory,accounts_payable,gross_margin,ebit_margin,net_margin,rd_pct_revenue,capex_pct_revenue,fcf
2020,NVDA,10918,4150,6768,2846,3227,2796,2970,174,178,-52,2829,1093,381,,,,,,,,,,,,,,,,0.619894,0.260670,0.256091,0.0,0.0,
2021,NVDA,16675,6279,10396,4532,5630,4332,4409,77,57,-184,3924,1940,1098,,,,,,11561,999,5964,7597,28791,11898,16893,2429,1826,1149,0.623448,0.271784,0.25979,0.0,0.0,
2022,NVDA,26914,9439,17475,10041,11215,9752,9941,189,29,-236,5268,2166,1174,9108,-9830,1865,-976,,21208,0,10946,11831,44187,17575,26612,4650,2605,1783,0.649290,0.373077,0.362339,0.0,0.0,8132
2023,NVDA,26974,11618,15356,4224,5768,4368,4181,-187,267,-262,7339,2440,1544,5641,7375,-11617,-1833,-2459,13296,1250,9703,12031,41182,19081,22101,3827,5159,1193,0.569289,0.156595,0.161934,0.272077,0.067954,3808
2024,NVDA,60922,16621,44301,32972,34480,29760,33818,4058,866,-257,8675,2654,1508,28090,-10566,-13633,-1069,-4236,25984,1250,8459,11056,65728,22750,42978,9999,5282,2699,0.727176,0.541217,0.488493,0.142395,0.017547,27021
2025,NVDA,130497,32639,97858,81453,83317,72880,84026,11146,1786,-247,12914,3491,1864,64089,-20421,-42359,-3236,-10604,43210,0,8463,10270,111601,32274,79327,23065,10080,6310,0.749887,0.624175,0.55848,0.09896,0.024798,60853
